media_id,Media_vehicle
16118,Public Utility - Adchini Aurobindo Marg  - Qutub to AIIMS
16119,Public Utility - BRT Corridor Pushp Vihar  - Khanpur to Chirag Delhi
16120,Public Utility - South Campus outside Venky College  - Ring road to Airport road
16122,"Unipole - Priya Cinema, Vasant Vihar Xing  - Vasant Kunj to Vasant Vihar"
16150,Wall Wrap - GK - M Block Market  - Around GK - M Block Market 
16151,Wall Wrap - GK - M Block Market  - Around GK - M Block Market 
16152,Public Utility - GK Turning towards Nehru Place  - BRT to Nehru Place
16168,Billboard - Oberoi facing Defence Colony - Moolchand to Zoo
16169,Billboard - Oberoi facing Sunder Nagar - Zoo to Moolchand
16170,Billboard - Shrinivaspuri - Ring Road to Modi Mill
16172,Unipole - Opp. Oberoi Hotel  - Pragati Maidan to Defence colony
16173,Unipole - Panchsheel Enclave - Chirag Delhi  Xing   to Moolchand
28214,Unipole - Nelson Mandela Road - Vasant Vihar to Vasant Kunj
28215,Unipole - Nelson Mandela Road - Vasant Vihar to Vasant Kunj
16208,Unipole - Oberoi Hotel - Defence Colony to Sunder Nagar
16209,Unipole - Defence Colony - Defence Colony to Sunder Nagar
16210,Unipole - Defence Colony - Defence Colony to Sunder Nagar
16211,Unipole - Sunder Nagar - Oberoi to Pragati Maidan
16212,Unipole - Chirag Delhi - Khanpur to Moolchand
16213,Unipole - GK-1 Crossing - Khanpur to Moolchand
16214,Unipole - CGO Complex - Moolchand to Zoo
16215,Unipole - Oberoi Hotel - Moolchand to Zoo
16218,Unipole - Jungpura - Jungpura to Defence colony
16303,Unipole - Andheria Modh  - Delhi to Gurgaon
16304,Unipole - Andheria Modh  - Gurgaon to Delhi
16305,Unipole - M.G. Road  - Delhi to Gurgaon
16306,Unipole - M.G. Road  - Gurgaon to Delhi
16313,Unipole - Adchini Qutub Hotel Turning  - IIT to Mehrauli
16314,Unipole - Adchini Qutub Hotel Turning  - Mehrauli to IIT
26911,Unipole - oberoi hotel -  Defance Colony to India Gate
26910,Unipole - Opp Green park Gurudwara - IIT to AIIMS
16340,Unipole - M.G. Road  - Gurgaon to Delhi
28213,Metro Bridge Panel - Sarita Vihar Metro station - Ashram to Bardarpur
16687,Unipole - Ambedkar Nagar  - Saket to Sangam Vihar 
16688,Unipole - Ambedkar Nagar  - Badarpur to Saket 
16689,Unipole - Ambedkar Nagar  - Devli to MG Road 
16690,Unipole - Lado Sarai  - Lado Sarai to Khanpur
16691,Unipole - Lado Sarai  - Lado Sarai to Khanpur
16697,Public Utility - New Friends Colony  - Mathura Road to NFC
16698,Unipole - Sheikh Sarai Facing Saket Mall  - Saket to Chirag Delhi
16699,Unipole - Sheikh Sarai Facing Chirag Delhi   - Chirag Delhi to Saket
16712,Public Utility - South Campus  - Dhaula Kuan to Airport
16713,Public Utility - South Campus  - Airport to Dhaula Kuan
16714,Public Utility - Munirka  - IIT to NH-8
16717,Public Utility - MB Road - Saket  - Khanpur to Badarpur
16718,Public Utility - Nelson Mandela Road  - Vasant Kunj to Vasant Vihar
16719,"Public Utility - RK Puram Sec-7, Opp. Mother Dairy  - Sec- 5 to Sec- 8"
16720,Public Utility - Vasant kunj B - 10 Market - Vasant Kunj to Vasant Vihar
16721,Public Utility - Khanpur - Badarpur to Khanpur
16722,Public Utility - Pushp vihar - Pushp vihar to Saket Court
16749,Billboard -  AIIMS  DMRC  Building -  Green Park to INA
16750,Billboard -  AIIMS  DMRC  Building - South Extention to Moti bagh
16751,Billboard -  AIIMS  DMRC Building -  South Extention to Dhaula Kuan
16752,Billboard -  AIIMS -  IIT to INA
16778,Metro Signage -  Arjan Garh Metro Station -  Delhi to Gurgaon
16779,Metro Signage -  Arjan Garh Metro Station -  Gurgaon to Delhi
16780,Metro Pillars -  Near Arjangarh Metro Station -  Delhi to Gurgaon
16781,Metro Pillars -  Near Arjangarh Metro Station -  Gurgaon to Delhi
16796,Public Utility -  Ashram Crossing -  Badarpur to Nizamuddin
