,media_id,Illumination
301,17401,Frontlit
302,17402,Frontlit
303,17403,Frontlit
304,17404,Frontlit
305,17451,Backlit
306,17452,Backlit
307,17453,Backlit
308,17455,Backlit
309,17463,Backlit
310,17464,Frontlit
311,17465,Frontlit
312,17466,Frontlit
313,17467,Frontlit
314,17468,Frontlit
315,17469,Frontlit
316,17471,Frontlit
317,17472,Frontlit
318,17473,Frontlit
319,17474,Frontlit
320,17475,Frontlit
321,17476,Frontlit
322,17477,Frontlit
323,17478,Frontlit
324,17479,Frontlit
325,17480,Frontlit
326,17484,Frontlit
327,26903,Frontlit
328,26904,Frontlit
329,17499,Backlit
330,25740,Backlit
331,17501,Backlit
332,17502,Backlit
333,17516,Frontlit
334,17520,Backlit
335,17521,Backlit
336,17522,Backlit
337,17523,Backlit
338,17524,Backlit
339,17525,Backlit
340,17531,Frontlit
341,17532,Frontlit
342,17533,Frontlit
343,17534,Backlit
344,20894,Frontlit
345,20895,Nonlit
346,17581,Backlit
347,17583,Backlit
348,17585,Backlit
349,17586,Backlit
350,17602,Frontlit
351,17603,Frontlit
352,17604,Frontlit
353,27001,Frontlit
354,27002,Frontlit
355,17688,Backlit
356,17689,Backlit
357,17690,Backlit
358,17691,Backlit
359,17692,Backlit
360,17693,Backlit
361,17694,Backlit
362,17696,Backlit
363,17697,Frontlit
364,17741,Frontlit
365,17745,Backlit
366,17746,Backlit
367,17747,Backlit
368,17748,Backlit
369,17749,Backlit
370,17750,Backlit
371,17751,Backlit
372,17752,Backlit
373,17753,Backlit
374,17754,Frontlit
375,17755,Frontlit
376,17756,Frontlit
377,17757,Backlit
378,17758,Backlit
379,17759,Backlit
380,17760,Backlit
381,17761,Backlit
382,17762,Backlit
383,17763,Backlit
384,17764,Backlit
385,17765,Backlit
386,17766,Backlit
387,17767,Backlit
388,17768,Backlit
389,17769,Backlit
390,17770,Backlit
391,17771,Backlit
392,17772,Backlit
393,17773,Backlit
394,17774,Backlit
395,17775,Backlit
396,17776,Backlit
397,17777,Backlit
398,17800,Backlit
399,17827,Backlit
400,17828,Backlit
401,17829,Backlit
402,17830,Backlit
403,17831,Backlit
404,17833,Frontlit
405,17834,Frontlit
406,17835,Frontlit
407,17836,Frontlit
408,17854,Backlit
409,17855,Backlit
410,17856,Backlit
411,17857,Frontlit
412,17858,Frontlit
413,17859,Frontlit
414,17860,Frontlit
415,17889,Backlit
416,17890,Frontlit
417,17891,Frontlit
418,17893,Frontlit
419,17894,Backlit
420,17895,Frontlit
421,17896,Frontlit
422,17897,Frontlit
423,17898,Frontlit
424,17899,Frontlit
425,17900,Backlit
426,26873,Frontlit
427,26874,Frontlit
428,26875,Frontlit
429,19296,Frontlit
430,26890,Frontlit
431,26888,Frontlit
432,19311,Frontlit
433,26887,Frontlit
434,26884,Frontlit
435,26885,Frontlit
436,19314,Frontlit
437,26879,Frontlit
438,26965,Backlit
439,26883,Frontlit
440,26877,Frontlit
441,26866,Frontlit
442,26867,Frontlit
443,26865,Frontlit
444,26864,Frontlit
445,19323,Frontlit
446,19324,Frontlit
447,19325,Frontlit
448,19328,Frontlit
449,19329,Frontlit
450,19344,Frontlit
451,19347,Frontlit
452,20988,
453,25744,Backlit
454,28124,Frontlit
455,21697,Frontlit
456,21698,Frontlit
457,21699,Frontlit
458,21700,Frontlit
459,21740,Frontlit
460,21741,Frontlit
461,21753,Frontlit
462,21754,Backlit
463,21755,Backlit
464,21756,Backlit
465,21757,Backlit
466,21758,Backlit
467,21759,Backlit
468,21760,Backlit
469,21761,Frontlit
470,21762,Frontlit
471,21763,Frontlit
472,21764,Frontlit
473,21765,Frontlit
474,21766,Frontlit
475,21768,Frontlit
476,21769,Frontlit
477,26881,Frontlit
478,26882,Frontlit
479,22733,Backlit
480,22728,Backlit
481,22729,Backlit
482,22742,Backlit
483,22741,Backlit
484,22734,Backlit
485,25564,Backlit
486,22736,Backlit
487,22737,Backlit
488,22738,Backlit
489,22731,Backlit
490,25562,Backlit
491,28315,Frontlit
492,28316,Frontlit
493,25757,Backlit
494,25758,Backlit
495,25759,Backlit
496,25760,Frontlit
497,25761,Backlit
498,25753,Backlit
499,25751,Backlit
500,24148,Frontlit
501,24149,Frontlit
502,24150,Frontlit
503,24151,Frontlit
504,24152,Frontlit
505,24153,Frontlit
506,24154,Frontlit
507,24155,Frontlit
508,26269,Backlit
509,27042,Frontlit
510,26275,Backlit
511,26271,Backlit
512,25553,Backlit
513,25502,Frontlit
514,25509,Frontlit
515,25514,Backlit
516,25518,Backlit
517,25522,Backlit
518,25523,Backlit
519,25526,Backlit
520,25527,Backlit
521,25528,Backlit
522,25531,Backlit
523,25532,Backlit
524,25533,Backlit
525,25534,Backlit
526,25535,Backlit
527,25536,Backlit
528,25537,Backlit
529,25547,Backlit
530,25548,Backlit
531,25549,Backlit
532,25550,Backlit
533,25551,Backlit
534,25552,Backlit
535,25559,Backlit
536,25560,Backlit
537,25571,Backlit
538,25573,Backlit
539,25577,Backlit
540,25581,Frontlit
541,25584,Frontlit
542,25585,Frontlit
543,25586,Backlit
544,25589,Frontlit
545,25590,Backlit
546,25593,Backlit
547,25594,Backlit
548,25597,Backlit
549,25599,Backlit
550,25601,Frontlit
551,25603,Frontlit
552,25607,Backlit
553,25639,Backlit
554,25641,Backlit
555,25643,Backlit
556,25644,Backlit
557,25651,Frontlit
558,25657,Backlit
559,25660,Backlit
560,25663,Backlit
561,25667,Backlit
562,25668,Backlit
563,25671,Backlit
564,25674,Backlit
565,25679,Frontlit
566,25682,Frontlit
567,25683,Frontlit
568,25694,Backlit
569,25695,Frontlit
570,25696,Backlit
571,25699,Backlit
572,25701,Backlit
573,25703,Backlit
574,25704,Backlit
575,25707,Backlit
576,25708,Backlit
577,25717,Backlit
578,25728,Backlit
579,25736,Frontlit
580,25737,Frontlit
581,25738,Frontlit
582,25739,Backlit
583,25742,Frontlit
