Sr No.,Location,Description,LIT,Size,Link,Image Name
48,Begumpet,Flyover; Bldg    top;  ftf.Old Airport; Shoppers stop,LIT,40x25,http://www.prakasharts.com/code1/3080. Bagumpet fo fg; Old Airport 40x25_Kamaneni Hospital.JPG,1_O51658_thumb_front.jpg
49,Begumpet,Flyover; Bldg top;    ftf.Greenlands; Lifestyle,LIT,40x25,http://www.prakasharts.com/code1/3081. Bagumpet fo fg; Greenlands; Life Style 40x25.JPG,1_O51659_thumb_front.jpg
50,Begumpet,Flyover; nr Rly    track;  ftf.Greenlands; Lifestyle,LIT,55x20,http://www.prakasharts.com/code1/3082. Begumpet fo fg;Greenlands 55x20_ST.MARY.JPG,1_O51660_thumb_front.jpg
51,Bhoiguda,Bhoiguda x Rds ftf.    Musheerabad; Gandhi Hospital,C,40x15,http://www.prakasharts.com/code1/3084. Bhoiguda X Rds FG; Musheerabad; Gandhi Hospital  40x15.JPG,1_O51661_thumb_front.jpg
52,Boats Club,opp. Marriot; nr    Tankbund Arch; ftf: Sec;bad; Ranigunj,LIT,50x25,http://www.prakasharts.com/code1/3085. Boats Club Opp; Marriot Nr. Tankbund Arch; Ftf; Sec; bad; Ranigunj 50x25_Hero Honda.jpg,1_O51662_thumb_front.jpg
53,Boats Club,opp: Marriot ftf.    Tankbund ,LIT,45x25,http://www.prakasharts.com/code1/3086 Boats Club at Marriot Ftf; Tankbund 45x25_VASAN.JPG,1_O51663_thumb_front.jpg
54,Boats Club,Waterside; ftf:    Tankbund           [L],LIT,60x25,http://www.prakasharts.com/code1/3088. Boats Club Water Side; Ftf; Tankbund 60x25_(R)Andhra Bank.JPG,1_O51664_thumb_front.jpg
55,Boats Club,Waterside; ftf:    Tankbund           [R],LIT,60x25,http://www.prakasharts.com/code1/3087. Boats Club Water Side; Ftf; Tankbund 60x25_(L)Crusoe.JPG,1_O51665_thumb_front.jpg
56,Boats Club,Giant Strr; Marriot    Jn ftf. Tankbund      [L],LIT,50x25,http://www.prakasharts.com/code1/3089. Boats Club Giant Strr; Marriot Jun Ftf; Tankbund (L) 50x25_GODREJ.JPG,1_O51666_thumb_front.jpg
57,Boats Club,Giant Strr; Marriot    Jn ftf. Tankbund      [R],LIT,50x25,http://www.prakasharts.com/code1/3090. Boats Club Giant Strr; Marriot Jun Ftf; Tankbund (L) 50x25_CHEVROLET.JPG,1_O51667_thumb_front.jpg
58,Boats Club,Marriot Jn ftf.    Tankbund,LIT,40x25,http://www.prakasharts.com/code1/3091.Boats Club Marriot Jn Ftf Tankbund  40x25_Kinf Fisher FIFA.JPG,1_O51668_thumb_front.jpg
59,Boats Club,ftf. Tankbund,C,20x10,http://www.prakasharts.com/code1/3094. Boats Club 20x10.JPG,1_O51669_thumb_front.jpg
60,Boats Club,ftf. Sec; bad,C,20x10,http://www.prakasharts.com/code1/3095. Boats Club  20x10_Y-  Axis.JPG,1_O51670_thumb_front.jpg
61,Boats Club,near Mosque ftf.    Ranigunj; ,C,20x10,http://www.prakasharts.com/,1_O51671_thumb_front.jpg
62,Boats Club,near Mosque ftf.    Ranigunj; ,LIT,50x25,http://www.prakasharts.com/code1/3096. Boats club Near Mosque Fg;Ranigunj 50x25_Pepsi.JPG,1_O51672_thumb_front.jpg
63,Bowenpally,near Bus stop; ftf.    Balanagar,C,40x20,http://www.prakasharts.com/code1/3097. Bownpally Near Bus stop Ftf; Balanagar 40x20.JPG,1_O51673_thumb_front.jpg
64,Chaderghat,Cross Roads; adj. Br;    ftf: Kothi,LIT,60x25,http://www.prakasharts.com/code1/3098.Chaderghat  Cross roads adj;Br FTF; Kothi 60x25_TIMES OF INDIA-3.JPG,1_O51674_thumb_front.jpg
65,Chaderghat,Cross Roads; adj. Br;    ftf: Kothi,LIT,39x25,http://www.prakasharts.com/code1/3099. Chaderghat  Cross roads adj;Br FTF; Kothi 39x25_Onida.JPG,1_O51675_thumb_front.jpg
66,Chaderghat,adj Br ftf. Malakpet,LIT,40x25,http://www.prakasharts.com/code1/3100. Chaderghat Adj; Brdige Ftf Malakpet 40x25.JPG,1_O51676_thumb_front.jpg
67,Chaderghat,adj. Bridge; ftf:    Malakpet; Dilsuknagar,LIT,60x25,http://www.prakasharts.com/code1/3101.Chaderghat Adj; Bridge  Ftf; Malakpet Dilsukhnagar 60x25_ Board_MTS.JPG,1_O51677_thumb_front.jpg
68,Chaderghat,adj. Bridge; ftf:    Malakpet; Dilsuknagar,P,50x25,http://www.prakasharts.com/code1/3102.Chaderghat Adj; Bridge  Ftf; Malakpet Dilsukhnagar 50x25_RELIANCE DIGITAL.JPG,1_O51678_thumb_front.jpg
69,Chaderghat,Cross Roads;    Cafepark;  ftf: Kothi,LIT,50x20,http://www.prakasharts.com/code1/3103.Chaderghat cr  Cafe Park Ftf; Kothi 50x20_RAYMONDS.JPG,1_O51679_thumb_front.jpg
70,Chaderghat,Cross Rds;    Ftf.Malakpet; Dilsuknagar,LIT,60x25,http://www.prakasharts.com/code1/3104. Chadarghat X Rds mkt; fg Malakpet  Dilsukhnagar 60x25_7Up.JPG,1_O51680_thumb_front.jpg
71,Chandrayangutta,adj flyover (top of    Hero Honda) ftf. Santoshnagar,P,60x25,http://www.prakasharts.com/code1/3105. Chandrayanagutta Adj; Flyover above Herohond Show Room fg; DRDL 60x25.JPG,1_O51681_thumb_front.jpg
72,Chandrayangutta,adj flyover (top of    Hero Honda) ftf. Bandlaguda; Airport,p,60x25,http://www.prakasharts.com/code1/3106. Chandrayanagutta Adj; Flyover above Herohond Show Room fg; Bundlaguda Airport 60x25.JPG,1_O51682_thumb_front.jpg
73,Chikkadpally,near Sunanda Hotel    ftf. Narayanguda fo,C,30x20,http://www.prakasharts.com/code1/3107. Chikaddpalli 30x20_1.JPG,1_O51683_thumb_front.jpg
74,Chilkalguda  ,adj. Oliphanata Br    [L] ftf. RTC x Rds,p,40x20,http://www.prakasharts.com/code1/3109,1_O51684_thumb_front.jpg
75,Chilkalguda  ,adj. Oliphanata Br    [R] ftf. RTC x Rds,P,40x20,http://www.prakasharts.com/,1_O51685_thumb_front.jpg
76,Chilkalguda  ,Tr Island nr    Rly.Qrts; ftf: Oliphanta Br,LIT,40x20,http://www.prakasharts.com/code1/3111. Chilkalaguda tR ISLAND NR RLY QTRS FtF; Oiliphnata Br 40x20_Docomo.JPG,1_O51686_thumb_front.jpg
77,Chilkalguda  ,Tr Island nr    Rly.Qrts; ftf: Oliphanta Br,p,30x15,http://www.prakasharts.com/code1/3112. Chilkalaguda tR ISLAND NR RLY QTRS FtF; Oiliphnata Br 30x15.JPG,1_O51687_thumb_front.jpg
78,Chilkalguda  ,Bhoiguda road,C,20x15,http://www.prakasharts.com/code1/3113. Chilkalguda Bhoiguda Road 20x15_IDEA F.F..JPG,1_O51688_thumb_front.jpg
79,Clock Tower Cr,Garden Restaurent    ftf. Patny Cr; SD Rd,LIT,60x25,http://www.prakasharts.com/code1/3114. Clocktower Cr  60x25_Manjee-2.JPG,1_O51689_thumb_front.jpg
80,Dilsukhnagar,Chaitanyapuri petrol    bunk ftf. LB Nagar,C,50x25,http://www.prakasharts.com/code1/3115. Dilsukhnagar Chaitanyapuri Petrol Pump Ftf; L.BNagar  50x25_Onida Mobiles.JPG,1_O51690_thumb_front.jpg
81,Dilsukhnagar,Chaitanyapuri ftf.    Kothapet; LB Nagar,C,25x30,http://www.prakasharts.com/code1/3116. Dilsukhnagar ChaitanyapuriFtf; LB.Nagar  25x30_Macromax Mobile.JPG,1_O51691_thumb_front.jpg
82,Dilsukhnagar,Chaitanyapuri ftf.    Bus depot; Rajadhani,LIT,30x25,http://www.prakasharts.com/code1/3117. Dilsukhnagar Chaitanyapur iFtf; LB.Nagar  30x25_TIMES OF INDIA.JPG,1_O51692_thumb_front.jpg
83,Dilsukhnagar,opp. Pol Stn; ftf.    Kothapet; LB Nagar,LIT,40x25,http://www.prakasharts.com/code1/3118. Dilsukhnagar Adj; Rajdhani Fg; L.B.Nagar 40x25 _SPICE MOBILES.JPG,1_O51693_thumb_front.jpg
84,Dilsukhnagar,opp. Pol Stn; ftf.    Bus depot; Rajadhani,LIT,40x25,http://www.prakasharts.com/code1/3119. Dilsukhnagar Opp; Police Stn Ftf; Depot 40x25_Dove.JPG,1_O51694_thumb_front.jpg
85,Dilsukhnagar,adj. Mega Cinema ftf.    Junction; Bus Depot,LIT,50x25,http://www.prakasharts.com/code1/3120. DilsukhnagarAdj; Mega Cinema ftf; Junction Bus depot 50x25.JPG,1_O51695_thumb_front.jpg
86,Dilsukhnagar,adj. Mega Cinema ftf.    Kotapet; LB Nagar,LIT,50x25,http://www.prakasharts.com/code1/3121. DilsukhnagarAdj; Mega Cinema ftf; Koyhapet LB Nagar 50x25.JPG,1_O51696_thumb_front.jpg
87,Dilsukhnagar,Konark Cinema opp.Bus    Depot ftf.LB Nagar,LIT,40x20,http://www.prakasharts.com/code1/3122. Dilsukhnagar Opp; Depot 40x20_Pepsi.JPG,1_O51697_thumb_front.jpg
88,Dilsukhnagar,opp. Bus depot ftf.    Junction; LB Nagar,LIT,40x20,http://www.prakasharts.com/code1/3124 Dilsukhnagar Top of Haridwar Fg Chaitanyapuri 40x20_2.JPG,1_O51698_thumb_front.jpg
89,Dilsukhnagar,adj: Venkatadri ftf:    Kothapet; LB Nagar,LIT,40x25,http://www.prakasharts.com/code1/3126.Dilsukhnagar Adj; Venkatadri Theatre Fg;Depo 40x25 -HERO.JPG,1_O51699_thumb_front.jpg
90,Dilsukhnagar,opp. Kalaniketan    ftf.TV Tower; Malakpet,LIT,60x25,http://www.prakasharts.com/code1/3127. Dilsukhnagar  Opp; Kalaniketan ftf; TV Tower 60x25 _Maha Shakti.JPG,1_O51700_thumb_front.jpg
91,Dilsukhnagar,top of Nalanda ftf.    Bus Terminus; LB Nagar,LIT,50x25,http://www.prakasharts.com/code1/3128. Dilsukhanagar Above Nalanda Fg Depot 50x25_DELMONTE.JPG,1_O51701_thumb_front.jpg
92,Esamia Bazar,Ftf. Chaderghat    Jn; ,P,36x20,http://www.prakasharts.com/code1/3129. Esamia Bazar 36x20_2.JPG,1_O51702_thumb_front.jpg
93,Fathenagar,Fathenagar f/o ftf.    Balanagar,C,40x20,http://www.prakasharts.com/code1/3132. Fathenagar fg;Balanagar 40x20_MTS.JPG,1_O51703_thumb_front.jpg
94,Fathenagar,Fathenagar f/o ftf.    Balkampet,C,40x20,http://www.prakasharts.com/code1/3133. Fathenagar Fg; S.R Nagar 40x20_MTS.JPG,1_O51704_thumb_front.jpg
95,Fathenagar,Balanagar Rd; ftf:    Flyover; Sanatnagar,C,30x20,http://www.prakasharts.com/,1_O51705_thumb_front.jpg
96,Fathenagar,Balanagar Rd; ftf:    Flyover; Sanatnagar,C,40x20,http://www.prakasharts.com/code1/3135   Fatehnagar; . Balanagar; 40x20.JPG,1_O51706_thumb_front.jpg
97,Gachibowli,Gachibowli x roads to    Kondapur,,50x25,http://www.prakasharts.com/code1/Gachibowli FG; darga 50x25.JPG,1_O51707_thumb_front.jpg
98,Gachibowli,Kondapur to    Gachibowli x rds,,50x25,http://www.prakasharts.com/code1/Gachibowli FG; Gachibowli road  50x25.JPG,1_O51708_thumb_front.jpg
99,Ghatkesar,Warangal Hiway near    Flyover ftf. Bhongiri,OS,60x15,http://www.prakasharts.com/code1/3136. Ghatkesar  Fg; Bhongir 60x15 _Bajaj Discover DTS.jpg,1_O51709_thumb_front.jpg
100,Ghatkesar,Warangal Hiway near    Flyover ftf. Uppal; Hyd,OS,60x15,http://www.prakasharts.com/code1/3137. Ghatkesar warangal highway  near fo ftf; uppal hyd 60x15.JPG,1_O51710_thumb_front.jpg
101,Greenlands,Meena Jewellers; ftf:    Gr.Kakatiya; Somajiguda ,LIT,60x25,http://www.prakasharts.com/code1/3138.Greenlands flyover 60x25-JOSALUKAS.JPG,1_O51711_thumb_front.jpg
102,Greenlands,near Grand Kakatiya;    ftf: S' guda,LIT,45x25,http://www.prakasharts.com/code1/3141. greenlands adj; grand kaktiya fg somajiguda 45x25_3.JPG,1_O51712_thumb_front.jpg
103,Greenlands,near Grand Kakatiya;    ftf.Greenlnds,LIT,50x25,http://www.prakasharts.com/code1/3142. Greenlands cr Nr ITC Fg Old Airport 50x25_1.JPG,1_O51713_thumb_front.jpg
104,Hafeezpet,flyover ftf.    Kondapur; Hitec city,c,40x30,http://www.prakasharts.com/code1/3145. Hayathnagar Fg LB Nagar; Vanasthalipura 40x20_1.JPG,1_O51714_thumb_front.jpg
105,Hayathnagar Cr.,near Bus st ftf. Film    city; Vijayawada,OS,40x20,http://www.prakasharts.com/code1/3146. Hayathnagar Fg LB Nagar 60x20_1.JPG,1_O51715_thumb_front.jpg
106,Hayathnagar Cr.,Above School ftf. LB    Nagar; Hyd,OS,60x20,http://www.prakasharts.com/code1/3147.Himayathnagar  near hyundai Fg; Liberty Cr 50x25 _TMC.JPG,1_O51716_thumb_front.jpg
107,Himayathnagar,near Hyundai ftf.    Liberty,LIT,50x25,http://www.prakasharts.com/code1/3148. Himayathnagar Main Road Adj; Hyundai 40x25_Chevrolet.JPG,1_O51717_thumb_front.jpg
108,Himayathnagar,near Hyundai ftf.    Liberty,LIT,40x25,http://www.prakasharts.com/code1/3149. Himayathnagar G.S. Towers Opp; More Mkt Ftf; Liberty 60x25_Macdolnad.JPG,1_O51718_thumb_front.jpg
109,Himayathnagar,GS Towers opp. More    Mkt ftf. Liberty,LIT,60x25,http://www.prakasharts.com/code1/3150. Himayathnagar GS Towers Opp; More Mkt Ftf; Blue Fox   50x25.JPG,1_O51719_thumb_front.jpg
110,Himayathnagar,GS Towers opp. More    Mkt ftf. Bluefox,LIT,50x25,http://www.prakasharts.com/code1/3151. Mehidipatnam 30x25.JPG,1_O51720_thumb_front.jpg
111,Himayathnagar,Above Gowtham Model    School fg. Liberty,LIT,50x25,http://www.prakasharts.com/code1/3152. HUmayannagar masabtank road ftf; sd eye hospital 30x20_ Micromax (1).JPG,1_O51721_thumb_front.jpg
112,Humayunagar ,Masab Tank Road    ftf.SD eye Hospital,LIT,30x25,http://www.prakasharts.com/code1/3151. Mehidipatnam 30x25.JPG,1_O51722_thumb_front.jpg
113,Humayunagar ,Masab Tank Road    ftf.SD eye Hospital,C,30x20,http://www.prakasharts.com/code1/3152. HUmayannagar masabtank road ftf; sd eye hospital 30x20_ Micromax (1).JPG,1_O51723_thumb_front.jpg
114,Humayunagar ,Masab Tank Road    ftf.SD eye Hospital,C,40x25,http://www.prakasharts.com/code1/3153. Humayannagar Masabtank Road ftf; SD Eye hospital  40x25 (2).JPG,1_O51724_thumb_front.jpg
115,Ibrahimpatnam,town entry ftf. Hyd,C,20x10,http://www.prakasharts.com/,1_O51725_thumb_front.jpg
116,Imlibun Bus Stn,adj. Bus St exit;    ftf. Nayapool,C,60x25,http://www.prakasharts.com/code1/3155. Imlibun BuS Stn exit ftf; Nayapool  60x25.JPG,1_O51726_thumb_front.jpg
117,Imlibun Bus Stn,adj. Bus St exit;    ftf. Bus Stn,C,80x15,http://www.prakasharts.com/code1/3156. Imlibun Bus Stand exit ftf; bus stn  80x15_MUTHOOT FINANC.jpg,1_O51727_thumb_front.jpg
118,Jubilee Hills,Kavuri Hills Srinidhi    School ftf. Checkpost ,LIT,50x25,http://www.prakasharts.com/code1/3157 . Jubilee Hills  Kavuri Hills Srinidhi School ftf. Checkpost 50x25.jpg,1_O51728_thumb_front.jpg
119,K B R Park,Near Shabdalaya; park    Jn ftf. Checkpost,LIT,60x25,http://www.prakasharts.com/code1/3158. KBR Park Fg Jubilee hIlls Check Post 60x25_MARRIOT.JPG,1_O51729_thumb_front.jpg
120,Kachiguda,Top of Nagina Bakery    ftf. Junction,C,30x15,http://www.prakasharts.com/code1/3159. Kachiguda Top of Nagina Bakery Ftf; Junction 30x15_Onida Mobiles.JPG,1_O51730_thumb_front.jpg
121,Karkhana,near Pol St ftf.    Sec'bad Club,LIT,30x30,http://www.prakasharts.com/code1/3160. Kharkana Fg Secunderabad Boats Club Road 30x30.JPG,1_O51731_thumb_front.jpg
122,Karkhana,near Pol St ftf.    Tirumalagiri,LIT,30x30,http://www.prakasharts.com/code1/3161. KharkhanaNr Police Stn  Fg Trimulgiri 30x30_Docomo.JPG,1_O51732_thumb_front.jpg
123,Karkhana,Jagdamba F Hall ftf.    Tirumalgiri,LIT,40x30,http://www.prakasharts.com/code1/3162.Kharkhana Jagadamba F Hall fg; Trimulgiri 40x30_VASAN.JPG,1_O51733_thumb_front.jpg
124,Karkhana,Jagdamba F Hall ftf.    Sec Club,C,40x25,http://www.prakasharts.com/code1/3163. Kharkhana Fg Secunderabad  40x30.JPG,1_O51734_thumb_front.jpg
125,Khairatabad,adj flyover ftf. IMAX    / Necklace Rd,LIT,40x25,http://www.prakasharts.com/code1/3165 Khairathabad Adj;  Flyover Fg;Imax; Necklace rd 40x25_SAIL.JPG,1_O51735_thumb_front.jpg
126,Khairatabad,ftf. Necklace Rd /    IMAX,LIT,50x25,http://www.prakasharts.com/code1/3166. Khairathabad Fg;Necklave rd Imax 50x25.jpg,1_O51736_thumb_front.jpg
127,Khairatabad,ftf. Necklace Rd /    IMAX,LIT,38x25,http://www.prakasharts.com/code1/3167. Khairatabad Adj; Railway Stn Fg Fo; Imax 38x25_1.JPG,1_O51737_thumb_front.jpg
128,Khairatabad,adj.Rly stn GHMC    Parking yard ftf. Flyover / Imax,LIT,60x25,http://www.prakasharts.com/code1/3168. Khairathabad Adj; Railway Stn GHMC Parking Yard ftf; Flyover Imax  60x25 (1).JPG,1_O51738_thumb_front.jpg
129,Khairatabad,behind Rly station    ftf. Flyover; Junction,LIT,30x30,http://www.prakasharts.com/code1/3169. Khairtabad Behind rly stn  ftf; flyover  Junction  30x25_Neon copy.jpg,1_O51739_thumb_front.jpg
130,Khairatabad,Perika Bhavan ftf:    Eenadu; Panjagutta,LIT,40x25,http://www.prakasharts.com/code1/3170. Khairtabad Perika Fg Punjagutta; Eenadu 40x25.JPG,1_O51740_thumb_front.jpg
131,Khairatabad,Perika Bhavan ftf:    Junction; Flyover,LIT,40x25,http://www.prakasharts.com/code1/3171. khairtabad x roads Above Perika Bhavan fg; junction 40x25_Mahindra.JPG,1_O51741_thumb_front.jpg
132,Khairatabad,Khairatabad x Rds;    ftf: Junction; Flyover,LIT,60x25,http://www.prakasharts.com/,1_O51742_thumb_front.jpg
133,Khairatabad,Khairatabad x Rds;    ftf: Junction; Flyover,LIT,33x25,http://www.prakasharts.com/,1_O51743_thumb_front.jpg
134,Khairatabad ,Adj.Flyover    Maruthinagar ftf. Junction,LIT,50x25,http://www.prakasharts.com/,1_O51744_thumb_front.jpg
135,Kothi,Amba Silks Andhra    Bank cr ftf. Womens College,LIT,36x20,http://www.prakasharts.com/code1/3175. Koti Andhra bank cr ftf; Womens college 36x20_TATA INDIGO CS-2.JPG,1_O51745_thumb_front.jpg
136,Kothi,Kushal complex Andhra    Bank cr fg. Womens College,LIT,30x25,http://www.prakasharts.com/code1/3176. Koti Kushal Complex Andhra Bank cr ftf; Woemsn college 30x25.jpg,1_O51746_thumb_front.jpg
137,Kothi,Marathi Library top;    ftf. Andhra Bank,LIT,50x20,http://www.prakasharts.com/code1/3177. Koti Top of Marathi Library Nr Womens College  50x20_DOCOMO.JPG,1_O51747_thumb_front.jpg
138,Kothi,Marathi Library wall    wrap ftf. Andrha Bank,LIT,36x20,http://www.prakasharts.com/code1/3178. Koti Womens College Marathi Library 36x20_BAJAJ.JPG,1_O51748_thumb_front.jpg
,Kothi,Opp; Womens College    Bus Stand,NON-LIT,30X25,http://www.prakasharts.com/,1_O51749_thumb_front.jpg
139,Kothi,Putli Bowli Cr ftf.    Andhra Bank; Osm Med College,P,40x20,http://www.prakasharts.com/,1_O51750_thumb_front.jpg
,Kothi,Opp; Womens College    Bus Stand,NON-LIT,40X25,http://www.prakasharts.com/code1/4653.  Koti Opp; Womens College Bus Stand 40x25_VIHARI MAA TV.JPG,1_O51751_thumb_front.jpg
140,Kukatpally,Moosapet x Roads; nr    Shasikala; ftf: KPHB,LIT,30x20,http://www.prakasharts.com/code1/3180. Kukkatpally Fg; KPHB 30X20AIRTELL.JPG,1_O51752_thumb_front.jpg
141,Kukatpally ,Moosapet x Roads; nr    Shasikala; ftf: flyover,LIT,30x20,http://www.prakasharts.com/code1/3181. Kukkatpally Moosapet Fg Flyover 30x20_ICICI.JPG,1_O51753_thumb_front.jpg
142,Kukatpally   ,opp. Sashikala ftf.    Flyover; Erragadda,LIT,60x20,http://www.prakasharts.com/code1/3182. Kukkatpally  Flyover  60x20_Jockey_2.JPG,1_O51754_thumb_front.jpg
143,L B Nagar,Minar Weigh br fg. Jn    Uppal,LIT,40x25,http://www.prakasharts.com/code1/3183.  L.B.Nagr cr Minar weigh Br fg. jn Uppal40x25_Sri Chaitanya.JPG,1_O51755_thumb_front.jpg
144,L B Nagar,Minar Weigh br fg. Jn    Dilsuknagar,LIT,60x25,http://www.prakasharts.com/code1/3184. L.B.Nagr cr Minar weigh Br fg. jn dilsukhnagar 60x25 (5).JPG,1_O51756_thumb_front.jpg
145,Lakdikapool,Krishna Hotel ftf.    Tel Bhavan; Secretariat,LIT,50x25,http://www.prakasharts.com/code1/3185. Lakdikapool Krishna hotel  ftf; Tel bhavan 50x25_KURL ON.JPG,1_O51757_thumb_front.jpg
146,Lakdikapool,Ganga Jamuna cr; IOB    ftf. Bridge,LIT,30x25,http://www.prakasharts.com/code1/3186. Lakdi-ka-pool Fg Bridge 30x25_Yashoda.JPG,1_O51758_thumb_front.jpg
147,Lakdikapool,Ganga Jamuna cr; IOB    ftf. Masabtank,LIT,30x25,http://www.prakasharts.com/code1/3187. Lakdikapul fg; Masbtank 30x25 (1).JPG,1_O51759_thumb_front.jpg
148,Lakdikapool,Ganga Jamuna ftf.    Bridge,LIT,40x25,http://www.prakasharts.com/code1/3188. Lakdikapool Above Ganga jamuna 40x25 _ICICI.JPG,1_O51760_thumb_front.jpg
149,Lakdikapool,Top of Photovision    ftf. Khairatabad;,C,30x15,http://www.prakasharts.com/code1/3189. Lakidikapool Opp; Shadan College 30x15_Kamaneni Hospital.JPG,1_O51761_thumb_front.jpg
150,Lakdikapool,RR Dist Collector    off; MMTS Station ftf. Br,p,50x20,http://www.prakasharts.com/code1/3190Lakdikapool adj;MMTS 50x20 - YASHODA.jpg,1_O51762_thumb_front.jpg
151,Liberty,Junction; bldg top;    ftf: Himayathnagar,LIT,28x20,http://www.prakasharts.com/code1/3191. Liberty X Roads Fg Himayathnagar 28x20_CrusoeA.JPG,1_O51763_thumb_front.jpg
152,Liberty,Junction; bldg top;    ftf: Himayathnagar,LIT,40x20,http://www.prakasharts.com/code1/3192,1_O51764_thumb_front.jpg
153,Liberty,Top of bldg; ftf:    Tank Bund,LIT,40x20,http://www.prakasharts.com/code1/3193. Liberty fg; Tankbund 40x20_Briliant G. Skool.JPG,1_O51765_thumb_front.jpg
154,Liberty,Sagarview bldg; ftf.    Secretariat; Tankbund,LIT,40x25,http://www.prakasharts.com/code1/3194. Liberty Sagarview 40x25_Reliance Jai Ho.JPG,1_O51766_thumb_front.jpg
155,Liberty,Sagarview bldg; ftf.    Liberty; Basheerbagh,LIT,40x25,http://www.prakasharts.com/code1/3195. Liberty Fg;Liberty Cr 40x25.JPG,1_O51767_thumb_front.jpg
156,Liberty,Sagarview bldg; ftf.    Secretariat; Tankbund,P,30x15,http://www.prakasharts.com/code1/3196. Liberty Sagerview Bldg fg Tankbund 30x15.JPG,1_O51768_thumb_front.jpg
157,M G Road,Ranigunj; Hotel    Balaji; ftf. Tankbund,LIT,50x25,http://www.prakasharts.com/code1/3202. M.G.Road; Ranigunj Above Balaji Hotel 50x25_Onida.JPG,1_O51769_thumb_front.jpg
158,M G Road,Ranigunj x Rds; ftf:    Tankbund,p,50x25,http://www.prakasharts.com/code1/3203. Ranigunj fg;Tankbund 50x25.JPG,1_O51770_thumb_front.jpg
159,M J Market,near Traffic Pol St;    ftf.Exhibition Grounds,LIT,40x20,http://www.prakasharts.com/code1/3204. M.J. Market 40x20_Tvs.JPG,1_O51771_thumb_front.jpg
160,M J Market,Top Of    CanaraConstruction ftf. Afzalgunj    [    L  ],LIT,60x25,http://www.prakasharts.com/code1/3206. MJ MKT 60x25 (2).JPG,1_O51772_thumb_front.jpg
161,M J Market,Top Of    CanaraConstruction ftf. Afzalgunj       [  R  ],LIT,60x25,http://www.prakasharts.com/code1/3205. MJ MKT 60x25_santoor.JPG,1_O51773_thumb_front.jpg
162,M J Market,near Karachi Bakery;    ftf. Abids,LIT,60x25,http://www.prakasharts.com/code1/3207. MJ Market 60X25_Deccen Chronicle.JPG,1_O51774_thumb_front.jpg
163,Madhapur,near Pol St; Hitec    City Road ftf. Hitec city   [ Upr ],LIT,40x20,http://www.prakasharts.com/code1/3210. Madhapur Fg;Hitechcity 40x20_Reliance IStore.JPG,1_O51775_thumb_front.jpg
164,Madhapur,near Pol St; Hitec    City Road ftf. Hitec city   [ Lwr ],LIT,40x20,http://www.prakasharts.com/code1/3209. Madhapur fg; Hitechcity 40x20_KINGFISHER.JPG,1_O51776_thumb_front.jpg
165,Madhapur,Petrol Bunk cr; ftf.    Jubilee Hills,LIT,40x20,http://www.prakasharts.com/code1/3211. Madhapur Fg Jubilee Hills 40x20.JPG,1_O51777_thumb_front.jpg
166,Malakpet,Mcpl Colony; ftf. TV    Tower; Dilsuknagar,C,40x25,http://www.prakasharts.com/code1/3212. Malakpet Mcpl Colony Ftf Tv Tower Dilsukhnagar 40x25_MUTHOOT FINFNC.jpg,1_O51778_thumb_front.jpg
167,Malakpet,Opp.Yashoda Hospital;    ftf. Dilsuknagar,P,36x20,http://www.prakasharts.com/code1/3215. Malakpet Near Chermas Traffic to DSNR 36X20_3.JPG,1_O51779_thumb_front.jpg
168,Malakpet,adj: Rly Br; ftf:    Nalgonda x Rds   [L],P,20x15,http://www.prakasharts.com/code1/3218.  Malakpet bridge Fg; Chaderghat 20x15_RELIANCE-ls-3.JPG,1_O51780_thumb_front.jpg
169,Malakpet,adj: Rly Br; ftf:    Nalgonda x Rds   [R],C,20x15,http://www.prakasharts.com/code1/3217. Malakpet 20x15_VIP.JPG,1_O51781_thumb_front.jpg
170,Masabtank,Ashoka Plaza;    adj.Flyover; ftf. Mehidipatnam,LIT,30x25,http://www.prakasharts.com/code1/3219. Masabtank fo fg; NMDC 30x25_MTS Mobile.JPG,1_O51782_thumb_front.jpg
171,Masabtank,near Khaja Mansion    fg. Banjara Hills,LIT,48x25,http://www.prakasharts.com/code1/4648     Masabtank 48x25 _Global Hsptal (3).JPG,1_O51783_thumb_front.jpg
172,Masabtank,near NMDC ftf.    Flyover; Lakdikapool,C,25x20,http://www.prakasharts.com/code1/3221. Masbtank NMDC 25x20 _Yashoda-3.JPG,1_O51784_thumb_front.jpg
173,Masabtank,adj. flyover ftf.    Mehidipatnam,LIT,50x25,http://www.prakasharts.com/code1/3222. Masabtank Fg S.D. Eye Hospital 50x25_Aircelll.JPG,1_O51785_thumb_front.jpg
174,Mehidipatnam,Cross Roads; Rytu    Bazar ftf. Masabtank,C,50x20,http://www.prakasharts.com/,1_O51786_thumb_front.jpg
175,Mehidipatnam ,Mehidipatnam Police    Stn; ftf. Junction,LIT,60x20,http://www.prakasharts.com/code1/3224.Mehdipatnam x roads 60x20_YASHODA.JPG,1_O51787_thumb_front.jpg
176,Mehidipatnam ,Survy Hotel ftf.    Junction; Masabtank,p,35x25,http://www.prakasharts.com/code1/3225. Mehdipatnam 35x25.JPG,1_O51788_thumb_front.jpg
177,Mehidipatnam ,near Rytu Bazar fg.    Rethibowli,p,40x25,http://www.prakasharts.com/code1/4647.   Mehdipatnam New Eraction Site 40x25.JPG,1_O51789_thumb_front.jpg
